speed,distance,count,file
0,0,139731,p1
0,50,487538,p1
0,100,232900,p1
0,150,103240,p1
0,200,45008,p1
0,250,60675,p1
0,300,44058,p1
0,350,53516,p1
0,400,95597,p1
0,450,796278,p1
0,500,420548,p1
10,0,100291,p1
10,50,208795,p1
10,100,99584,p1
10,150,146290,p1
10,200,31248,p1
10,250,46774,p1
10,300,43657,p1
10,350,71351,p1
10,400,140414,p1
10,450,419615,p1
10,500,250890,p1
20,0,69419,p1
20,50,214051,p1
20,100,163441,p1
20,150,141570,p1
20,200,91096,p1
20,250,86945,p1
20,300,107332,p1
20,350,291616,p1
20,400,477134,p1
20,450,591546,p1
20,500,405824,p1
30,0,33745,p1
30,50,144251,p1
30,100,222763,p1
30,150,172736,p1
30,200,199918,p1
30,250,206808,p1
30,300,217046,p1
30,350,768544,p1
30,400,1115923,p1
30,450,1193987,p1
30,500,515559,p1
40,0,14270,p1
40,50,43461,p1
40,100,83766,p1
40,150,105235,p1
40,200,109092,p1
40,250,105100,p1
40,300,98679,p1
40,350,193451,p1
40,400,359380,p1
40,450,410528,p1
40,500,197014,p1
50,0,193,p1
50,50,779,p1
50,100,3284,p1
50,150,7817,p1
50,200,11175,p1
50,250,18778,p1
50,300,20900,p1
50,350,22208,p1
50,400,27413,p1
50,450,35755,p1
50,500,20595,p1
60,50,2,p1
60,100,15,p1
60,150,15,p1
60,200,11,p1
60,250,54,p1
60,300,111,p1
60,350,131,p1
60,400,213,p1
60,450,389,p1
60,500,271,p1
70,100,1,p1
70,150,5,p1
70,200,5,p1
70,500,4,p1
80,400,4,p1
90,400,4,p1
100,400,4,p1
120,400,4,p1
130,400,4,p1
140,400,4,p1
150,400,4,p1
160,400,4,p1
170,400,4,p1
180,350,4,p1
190,350,4,p1
200,350,4,p1
210,350,4,p1
0,0,82306,rse
0,50,301642,rse
0,100,159833,rse
0,150,55514,rse
0,200,35187,rse
0,250,29070,rse
0,300,21527,rse
0,350,14283,rse
0,400,14678,rse
0,450,16269,rse
0,500,3332,rse
10,0,68354,rse
10,50,167629,rse
10,100,128492,rse
10,150,110345,rse
10,200,66064,rse
10,250,46132,rse
10,300,33233,rse
10,350,22201,rse
10,400,32437,rse
10,450,75127,rse
10,500,13346,rse
20,0,34786,rse
20,50,96471,rse
20,100,64066,rse
20,150,57075,rse
20,200,34365,rse
20,250,27393,rse
20,300,26101,rse
20,350,15958,rse
20,400,12853,rse
20,450,10678,rse
20,500,2565,rse
