vehicle_ID,vehicle_type,source
1,car,BSM
2,car,BSM
3,car,BSM
4,car,BSM
5,car,BSM
6,car,BSM
7,car,BSM
8,car,BSM
9,truck,BSM
10,truck,BSM
11,truck,BSM
12,truck,BSM
13,truck,BSM
14,truck,BSM
15,truck,BSM
16,transit,BSM
17,transit,BSM
18,transit,BSM
19,transit,BSM
20,transit,BSM
21,transit,BSM
22,transit,BSM
23,transit,BSM
24,car,GPS
25,truck,GPS
26,truck,GPS
27,truck,GPS
29,transit,GPS
30,truck,GPS
31,truck,GPS
32,transit,GPS
33,car,GPS
34,car,GPS
35,car,GPS
36,car,GPS
37,car,GPS
38,car,GPS
39,car,GPS
40,car,GPS
41,car,GPS
42,car,GPS
43,car,GPS
44,car,GPS
45,car,GPS
46,car,GPS
47,car,GPS
48,car,GPS
49,car,GPS
50,car,GPS
51,car,GPS
52,car,GPS
53,car,GPS
54,car,GPS
55,car,GPS
56,transit,GPS
57,car,GPS
58,car,GPS
59,car,GPS
60,transit,GPS
61,car,GPS
62,car,GPS
63,car,GPS
64,car,GPS
65,car,GPS
66,truck,GPS
67,truck,GPS
68,truck,GPS
69,car,BSM
70,car,BSM
71,car,BSM
72,car,BSM
73,car,BSM
74,car,BSM
75,car,BSM
76,car,BSM
77,car,BSM
78,car,BSM
79,truck,BSM
80,car,GPS
81,truck,GPS
82,truck,GPS
83,truck,GPS
85,transit,GPS
86,truck,GPS
87,truck,GPS
88,transit,GPS
89,car,GPS
90,car,GPS
91,car,GPS
92,car,GPS
93,car,GPS
94,car,GPS
95,car,GPS
96,car,GPS
97,car,GPS
98,car,GPS
99,car,GPS
100,car,GPS
101,car,GPS
102,car,GPS
103,car,GPS
104,car,GPS
105,car,GPS
106,car,GPS
107,car,GPS
108,car,GPS
109,car,GPS
110,car,GPS
111,car,GPS
112,transit,GPS
113,car,GPS
114,car,GPS
115,car,GPS
116,transit,GPS
117,car,GPS
118,car,GPS
119,car,GPS
120,car,GPS
121,car,GPS
122,truck,GPS
123,truck,GPS
124,truck,GPS
