location,lat,lng
portland,45.5231,-122.6765
"ann arbor, mi",42.2808,-83.7430
arizona,34.0489,-111.0937
"atlanta, ga",33.7490,-84.3880
"columbus, oh",39.9612,-82.9988
detroit,42.3314,-83.0458
"emeryville, ca",37.8313,-122.2852
leesburg,39.1157,-77.5636
"los angeles, ca",34.038456,-118.334453
michigan test bed,42.2808,-83.7430
minnesota,46.7296,-94.6859
orlando,28.5383,-81.3792
pasadena,34.144681,-118.062117
portland,45.5231,-122.6765
san diego,32.7157,-117.1611
seattle,47.6062,-122.3321
"sykesville, md",39.3737,-76.9678
